Result Time,Granularity Period,Object Name,Reliability,"Average CQI","DL 16 QAM","DL 64QAM (%)","DL PRB Usage Rate (%)","DL QPSK (%)","L.ChMeas.MIMO.PRB.CL.Rank1","L.ChMeas.MIMO.PRB.CL.Rank2","L.ChMeas.MIMO.PRB.OL.Rank1","L.ChMeas.MIMO.PRB.OL.Rank2","L.E-RAB.AttEst","L.E-RAB.SuccEst","L.HHO.IntereNB.IntraFreq.ExecAttOut","L.HHO.IntereNB.IntraFreq.ExecSuccOut","L.HHO.IntraeNB.IntraFreq.ExecAttOut","L.HHO.IntraeNB.IntraFreq.ExecSuccOut","L.Traffic.DL.SCH.16QAM.TB","L.Traffic.DL.SCH.16QAM.TB.Retrans","L.Traffic.DL.SCH.64QAM.TB","L.Traffic.DL.SCH.64QAM.TB.Retrans","L.Traffic.DL.SCH.QPSK.TB","L.Traffic.DL.SCH.QPSK.TB.Retrans","L.Traffic.UL.SCH.16QAM.TB","L.Traffic.UL.SCH.16QAM.TB.Retrans","L.Traffic.UL.SCH.64QAM.TB","L.Traffic.UL.SCH.64QAM.TB.Retrans","L.Traffic.UL.SCH.QPSK.TB","L.Traffic.UL.SCH.QPSK.TB.Retrans","Rach Success","Rach Success Rate (%)","RACH Request","UL PRB Usage Rate (%)"
,Minutes,,,%,%,%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,times,%,times,None
2021-11-16 14:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=0, Cell Name=MIRP3001-0, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.745,34.546,26.626,75.37,38.828,76260153,53758800,1289502,0,2542,2542,139,139,221,221,2103144,394976,1729868,195521,2347863,459870,4773767,155852,0,0,7157082,595531,3089,100,3089,57.828
2021-11-16 14:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=1, Cell Name=MIRP3001-1, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.189,37.105,34.604,27.842,28.291,39178601,6295376,367418,0,693,693,63,63,65,65,601415,73433,552074,77274,463226,51316,2114664,59536,0,0,5588957,253375,1052,100,1052,45.354
2021-11-16 14:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=2, Cell Name=MIRP3001-2, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.438,29.122,10.439,50.098,60.44,76504280,8706271,679795,0,1093,1093,189,189,150,150,607260,85641,219397,28968,1300441,137609,2193785,56061,0,0,6205761,300592,1619,100,1619,37.974
2021-11-16 14:00,60,"MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965/Cell:eNodeB Function Name=MIRP3001-Dudial Urban-UFN-UDG-PDC-FCB-Slv-8965, Local Cell ID=4, Cell Name=MIRP3001-4, eNodeB ID=43001, Cell FDD TDD indication=CELL_FDD",Reliable,9.591,42.093,29.625,99.95,28.283,109289330,65802895,432974,0,5814,5812,501,497,119,118,4257498,563309,2927706,465139,2822482,416661,2768132,184675,0,0,7741538,2758583,8323,100,8323,48.624
2021-11-16 14:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=0, Cell Name=MIRP3002-0, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,10.242,40.011,31.018,99.522,28.971,111693863,62778828,324772,0,3162,3160,189,164,82,82,3735483,467238,2935133,322926,2647961,395112,3278332,203736,0,0,6858846,2208860,5815,99.777,5828,55.94
2021-11-16 14:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=1, Cell Name=MIRP3002-1, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,9.121,32.767,35.69,50.264,31.542,53630100,32055015,509021,0,666,664,58,46,301,301,1030682,121937,1131820,123621,1007724,101797,3879297,103924,0,0,7109956,462790,1172,100,1172,45.574
2021-11-16 14:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=2, Cell Name=MIRP3002-2, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,10.335,29.094,39.988,95.836,30.918,122187478,45517411,436333,0,2995,2984,248,241,32,30,2900013,376008,4129623,373124,2950542,530810,3261871,226165,0,0,12015571,4921593,5904,100,5904,71.822
2021-11-16 14:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=4, Cell Name=MIRP3002-4, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,9.277,37.981,30.583,80.572,31.437,72703127,66350406,1616857,0,2073,2071,159,124,364,363,2748510,305390,2212870,246170,2308416,219304,5161786,202448,0,0,7984560,488396,2750,99.927,2752,75.904
2021-11-16 14:00,60,"MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971/Cell:eNodeB Function Name=MIRP3002-Chaksawari-UFN-UDG-PDC-FCB-UCP-Plt-8971, Local Cell ID=5, Cell Name=MIRP3002-5, eNodeB ID=43002, Cell FDD TDD indication=CELL_FDD",Reliable,8.788,32.362,30.072,97.774,37.566,142671991,28221486,736863,0,1263,1262,332,306,25,25,2337687,253909,2176456,231782,2694280,314083,3519586,207430,0,0,13466141,1481734,3230,99.969,3231,79.386
